first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,age,age_class
Shawna,Hinrichsen,Female,60,1969-08-27,Assistant Professor,Manufacturing,Affluent Customer,False,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,163,1.18,53,50.0
Fonsie,Levane,Male,96,1951-07-10,Account Representative III,Financial Services,High Net Worth,False,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,163,1.18,71,70.0
Emilie,Brody,Female,3,1979-05-22,Director of Sales,Financial Services,Mass Customer,False,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,163,1.18,43,40.0
Robert,Corkill,Male,55,1976-03-12,Clinical Specialist,Health,Mass Customer,False,No,4,5612 Toban Point,2227,NSW,Australia,10,166,1.18,46,50.0
Elvira,Kurten,Female,65,1973-03-18,Assistant Professor,Financial Services,High Net Worth,False,No,12,65 Ridge Oak Court,2471,NSW,Australia,3,166,1.18,49,50.0
Juliana,Mitchenson,Female,55,1989-01-05,Environmental Tech,Manufacturing,Mass Customer,False,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,166,1.18,34,30.0
Regine,Bownes,Female,99,1952-07-01,Senior Developer,Retail,Affluent Customer,False,No,15,255 Loeprich Lane,3752,VIC,Australia,9,166,1.18,70,70.0
Abner,Fraschetti,Male,33,1986-01-23,Staff Scientist,Argiculture,Affluent Customer,False,No,13,67 Northport Avenue,3805,VIC,Australia,7,166,1.18,37,40.0
Alvira,Coulman,Female,42,1955-06-05,Account Representative II,Financial Services,Affluent Customer,False,No,14,823 Wayridge Trail,2205,NSW,Australia,9,166,1.18,67,70.0
Sawyer,Sponton,Male,36,1956-02-22,Help Desk Technician,Property,Mass Customer,False,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,166,1.18,67,70.0
Feodor,Vickers,Male,60,1989-11-18,VP Quality Control,Financial Services,Mass Customer,False,Yes,4,40809 Truax Way,2209,NSW,Australia,6,173,1.17,33,30.0
Paten,Cayet,Male,56,1995-02-19,Assistant Manager,Manufacturing,Affluent Customer,False,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,174,1.17,28,30.0
Loria,Tappington,Female,72,1955-09-06,Research Assistant IV,Property,Mass Customer,False,No,5,3920 Swallow Junction,3038,VIC,Australia,8,174,1.17,67,70.0
Tanya,Kiefer,Female,54,1992-07-05,Speech Pathologist,Telecommunications,High Net Worth,False,No,7,4 Warner Park,2146,NSW,Australia,9,174,1.17,30,30.0
Devonne,Alderwick,Female,79,1939-01-29,Research Associate,Financial Services,High Net Worth,False,Yes,9,534 Lien Lane,3122,VIC,Australia,7,177,1.16,84,80.0
Omero,McDonand,Male,51,1952-04-01,Software Consultant,Manufacturing,Mass Customer,False,No,16,48 Shoshone Park,2066,NSW,Australia,9,177,1.16,70,70.0
Iain,Haversham,Male,92,1950-12-26,Sales Representative,Retail,Mass Customer,False,Yes,13,170 Briar Crest Place,2120,NSW,Australia,10,177,1.16,72,70.0
Keriann,Newham,Female,71,1975-03-26,Assistant Manager,Financial Services,Mass Customer,False,No,5,0193 Northland Street,4179,QLD,Australia,9,177,1.16,47,50.0
Conroy,Rappaport,Male,39,1965-01-08,Assistant Manager,Health,High Net Worth,False,No,9,5219 Pearson Drive,2148,NSW,Australia,9,181,1.16,58,60.0
Dorian,Rustman,Male,78,1974-12-09,Junior Executive,Manufacturing,Mass Customer,False,No,18,6156 Summit Center,4352,QLD,Australia,7,181,1.16,48,50.0
Quillan,Guinane,Male,36,1946-03-24,Community Outreach Specialist,Financial Services,High Net Worth,False,Yes,21,803 Badeau Point,2177,NSW,Australia,8,181,1.16,76,80.0
Harlin,Mazin,Male,34,1974-03-25,Computer Systems Analyst I,Manufacturing,Mass Customer,False,Yes,13,735 Westridge Road,2454,NSW,Australia,7,181,1.16,48,50.0
Eustacia,Dornan,Female,68,1985-09-02,Account Representative IV,Property,Mass Customer,False,No,5,1190 Hanson Street,3806,VIC,Australia,9,181,1.16,37,40.0
Maury,Galego,Male,65,1992-07-27,Social Worker,Health,High Net Worth,False,Yes,3,370 Division Junction,3032,VIC,Australia,10,181,1.16,30,30.0
Reggie,Kernar,Female,26,1971-11-28,Senior Editor,Financial Services,High Net Worth,False,No,17,90 Northport Hill,2228,NSW,Australia,10,181,1.16,51,50.0
Brigitte,Whellams,Female,67,1973-05-09,Payment Adjustment Coordinator,Financial Services,Mass Customer,False,Yes,17,77785 Veith Lane,2766,NSW,Australia,8,188,1.16,49,50.0
Kinna,Kollasch,Female,7,1986-11-09,Safety Technician I,Property,High Net Worth,False,No,9,232 Knutson Park,4060,QLD,Australia,10,188,1.16,36,40.0
Maurizio,Comi,Male,74,1996-05-30,VP Product Management,IT,Affluent Customer,False,No,10,25805 Eagan Place,2766,NSW,Australia,9,190,1.16,26,30.0
Elbertina,Fendley,Female,32,1992-03-27,Physical Therapy Assistant,Property,Affluent Customer,False,No,8,743 Debra Court,2117,NSW,Australia,11,191,1.15,30,30.0
Franklin,Wohler,Male,55,1938-10-16,Clinical Specialist,Health,Mass Customer,False,Yes,7,6966 Delladonna Street,2250,NSW,Australia,8,191,1.15,84,80.0
Allyson,Petchell,Female,16,1970-03-19,Human Resources Manager,Telecommunications,High Net Worth,False,No,10,98221 Pennsylvania Place,2170,NSW,Australia,8,191,1.15,52,50.0
Ermentrude,Heindle,Female,47,1969-08-02,GIS Technical Architect,Argiculture,Mass Customer,False,No,7,307 Knutson Center,2226,NSW,Australia,10,191,1.15,53,50.0
Alanna,Lerway,Female,26,1944-01-05,Dental Hygienist,Health,Mass Customer,False,Yes,11,593 Alpine Drive,3195,VIC,Australia,12,195,1.15,79,80.0
Vincent,Jopke,Male,6,1972-03-10,Analog Circuit Design manager,Property,Affluent Customer,False,No,16,45788 Stang Plaza,3687,VIC,Australia,3,195,1.15,51,50.0
Mandie,Jeffryes,Female,60,1981-02-16,Business Systems Development Analyst,Financial Services,High Net Worth,False,No,7,96515 Di Loreto Pass,4109,QLD,Australia,9,195,1.15,42,40.0
Collete,Dory,Female,66,1990-01-09,Information Systems Manager,Financial Services,High Net Worth,False,No,2,8625 Dakota Plaza,2210,NSW,Australia,9,195,1.15,33,30.0
Leonid,Dorricott,Male,44,1993-11-18,Environmental Tech,Financial Services,Affluent Customer,False,No,3,02 Hoffman Road,2448,NSW,Australia,3,195,1.15,29,30.0
Charlena,Berney,Female,55,1966-01-02,Geological Engineer,Manufacturing,High Net Worth,False,Yes,12,496 Logan Center,4207,QLD,Australia,4,195,1.15,57,60.0
Alfonso,Massel,Male,70,1940-12-05,Associate Professor,Financial Services,Mass Customer,False,Yes,13,6065 Talisman Crossing,3977,VIC,Australia,7,201,1.14,82,80.0
Engracia,Dobbs,Female,84,1959-04-19,Associate Professor,Health,Mass Customer,False,No,15,72 Eliot Place,2250,NSW,Australia,8,202,1.14,63,60.0
Glyn,,Male,47,1945-02-13,General Manager,Manufacturing,Affluent Customer,False,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,202,1.14,78,80.0
Rosemonde,Cartwight,Female,44,1952-10-20,Analyst Programmer,Retail,Mass Customer,False,Yes,7,518 Paget Hill,4605,QLD,Australia,1,202,1.14,70,70.0
Alano,Satchel,Male,2,1998-11-26,Recruiting Manager,Financial Services,Mass Customer,False,No,2,87107 Shelley Crossing,2429,NSW,Australia,7,202,1.14,24,20.0
Corrine,Baribal,Female,19,1948-10-12,Senior Sales Associate,Financial Services,Affluent Customer,False,Yes,12,3 Mallory Circle,2170,NSW,Australia,8,206,1.14,74,70.0
Benoit,Harniman,Male,31,1976-08-27,Research Assistant II,Telecommunications,Affluent Customer,False,No,9,1582 Bashford Drive,4018,QLD,Australia,7,206,1.14,46,50.0
Jeanne,Darte,Female,70,1955-08-18,Associate Professor,Financial Services,Mass Customer,False,Yes,11,3 Homewood Park,2756,NSW,Australia,7,206,1.14,67,70.0
Jenelle,Fearnill,Female,12,1958-01-03,Social Worker,Health,High Net Worth,False,No,19,06 Old Gate Park,2144,NSW,Australia,9,206,1.14,65,60.0
Tannie,Gambrell,Male,92,1967-05-25,Financial Analyst,Financial Services,Affluent Customer,False,No,4,49 Surrey Point,4710,QLD,Australia,4,206,1.14,55,60.0
Mick,Macewan,Male,32,1967-12-12,Senior Cost Accountant,Financial Services,Mass Customer,False,No,16,59254 Northland Alley,2032,NSW,Australia,10,206,1.14,55,60.0
Abbie,Oldman,Male,82,1983-11-26,Associate Professor,Health,High Net Worth,False,Yes,5,4 North Drive,2168,NSW,Australia,8,212,1.14,39,40.0
Tabbie,Curner,Male,12,1997-03-13,Chief Design Engineer,Retail,Mass Customer,False,No,6,89 Parkside Street,3021,VIC,Australia,6,212,1.14,25,20.0
Shane,Killen,Male,28,1956-10-16,Account Executive,Entertainment,High Net Worth,False,No,10,7 Hazelcrest Place,2165,NSW,Australia,8,212,1.14,66,70.0
Roberta,Goodale,Female,9,1947-02-28,Information Systems Manager,Property,Mass Customer,False,Yes,22,013 David Junction,4211,QLD,Australia,7,215,1.13,76,80.0
Kippy,Barabisch,Male,11,2000-04-07,Legal Assistant,Manufacturing,Mass Customer,False,No,4,840 Graceland Street,2125,NSW,Australia,11,215,1.13,22,20.0
Rosalinde,Cubuzzi,Female,50,1997-09-04,Business Systems Development Analyst,Financial Services,Mass Customer,False,No,5,6 Lotheville Trail,2444,NSW,Australia,7,215,1.13,25,20.0
Cami,Barnbrook,Female,8,1963-01-01,Occupational Therapist,Health,Affluent Customer,False,Yes,18,890 Truax Lane,4285,QLD,Australia,2,218,1.13,60,60.0
Dorian,Stollen,Male,78,1980-02-16,Statistician I,Financial Services,Mass Customer,False,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,219,1.12,43,40.0
Hunfredo,Hayball,Male,7,1994-04-15,Associate Professor,IT,Affluent Customer,False,No,3,60461 Esch Avenue,2227,NSW,Australia,8,219,1.12,28,30.0
Giorgi,O'Shirine,Male,68,1981-06-20,Payment Adjustment Coordinator,Retail,Mass Customer,False,Yes,15,6 Novick Alley,3934,VIC,Australia,8,219,1.12,41,40.0
Kort,Disley,Male,66,1979-02-05,Technical Writer,Health,Mass Customer,False,Yes,7,76 Donald Trail,2160,NSW,Australia,9,219,1.12,44,40.0
Gretna,Thredder,Female,62,1966-01-08,Associate Professor,Financial Services,Mass Customer,False,No,18,1607 Westridge Drive,2203,NSW,Australia,11,223,1.12,57,60.0
Tobiah,Heinsius,Male,66,2000-01-25,Chief Design Engineer,Health,High Net Worth,False,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,223,1.12,23,20.0
Wallace,Newart,Male,91,1977-12-06,Associate Professor,IT,Mass Customer,False,No,17,29007 Dapin Street,4650,QLD,Australia,1,223,1.12,45,40.0
Hersh,Stubbert,Male,0,2000-06-25,Technical Writer,Manufacturing,Mass Customer,False,Yes,15,68 Fairfield Street,4115,QLD,Australia,8,226,1.11,22,20.0
Hatti,Carletti,Unidentified,35,1941-07-21,Legal Assistant,IT,Affluent Customer,False,Yes,11,6 Iowa Center,2519,NSW,Australia,9,226,1.11,81,80.0
Wyn,Saynor,Male,54,1964-06-22,Cost Accountant,Financial Services,High Net Worth,False,No,8,5 Briar Crest Road,2099,NSW,Australia,9,226,1.11,58,60.0
Maribeth,Stivani,Female,46,1954-11-13,Associate Professor,Financial Services,Mass Customer,False,No,7,945 Bobwhite Court,2430,NSW,Australia,8,226,1.11,68,70.0
Abigale,Sives,Female,48,1963-12-13,VP Marketing,Health,Affluent Customer,False,Yes,14,2 Glendale Center,4207,QLD,Australia,4,230,1.11,59,60.0
Gothart,Artus,Male,52,1978-05-31,Health Coach IV,Health,Mass Customer,False,Yes,14,21824 Northridge Alley,2117,NSW,Australia,10,231,1.1,44,40.0
Danny,Bodle,Male,50,1943-09-24,Statistician I,Manufacturing,Mass Customer,False,Yes,18,68 Anthes Park,2007,NSW,Australia,9,231,1.1,79,80.0
Vittorio,Boxen,Male,94,1965-08-15,Mechanical Systems Engineer,Financial Services,Mass Customer,False,No,14,3 Anthes Court,2148,NSW,Australia,9,233,1.1,57,60.0
Deborah,Petrovsky,Female,53,1943-07-14,Teacher,Property,Mass Customer,False,No,16,036 Redwing Street,2011,NSW,Australia,7,233,1.1,79,80.0
Agace,Hedge,Female,25,1997-07-23,Media Manager II,Financial Services,Mass Customer,False,Yes,13,92 Petterle Place,3429,VIC,Australia,8,233,1.1,25,20.0
Rolland,Esmead,Male,41,1940-07-13,Associate Professor,Health,Affluent Customer,False,No,8,72008 7th Avenue,2200,NSW,Australia,8,233,1.1,82,80.0
Latrena,Walklate,Female,97,1943-10-05,Mechanical Systems Engineer,Telecommunications,High Net Worth,False,Yes,13,87 Sheridan Junction,2281,NSW,Australia,8,237,1.09,79,80.0
Mariquilla,Springthorpe,Female,30,1939-04-04,Director of Sales,Financial Services,Mass Customer,False,Yes,8,811 Melrose Park,2224,NSW,Australia,10,237,1.09,83,80.0
Leticia,Danovich,Female,84,1941-10-02,Design Engineer,Entertainment,Mass Customer,False,Yes,15,2 Logan Avenue,4307,QLD,Australia,1,237,1.09,81,80.0
Harman,Lynds,Male,4,1961-05-27,Professor,Financial Services,Mass Customer,False,Yes,5,538 Gina Way,4105,QLD,Australia,8,240,1.09,61,60.0
Farra,Matyushkin,Female,18,1974-01-24,VP Quality Control,Manufacturing,High Net Worth,False,Yes,9,52761 Portage Crossing,3170,VIC,Australia,9,241,1.09,49,50.0
Robenia,Monks,Female,94,1959-05-08,Nurse Practicioner,Manufacturing,Mass Customer,False,No,5,8 Fieldstone Street,4065,QLD,Australia,9,241,1.09,63,60.0
Roman,Eastwood,Male,57,1969-09-21,Associate Professor,Manufacturing,Affluent Customer,False,Yes,16,8957 Anhalt Alley,3004,VIC,Australia,4,241,1.09,53,50.0
Solomon,Bruck,Male,29,1957-11-15,Junior Executive,Health,Mass Customer,False,No,12,5 High Crossing Junction,4556,QLD,Australia,8,244,1.08,65,60.0
Krystyna,Airey,Female,2,1950-09-05,Safety Technician II,Financial Services,Mass Customer,False,Yes,19,75760 Toban Junction,4006,QLD,Australia,5,244,1.08,72,70.0
Katharine,Redbourn,Female,8,1967-09-11,Recruiter,Manufacturing,Affluent Customer,False,Yes,4,178 Waxwing Trail,3134,VIC,Australia,10,244,1.08,55,60.0
Cammy,Stoneham,Female,74,1963-05-02,Business Systems Development Analyst,Financial Services,High Net Worth,False,No,14,8648 Green Alley,4680,QLD,Australia,3,244,1.08,59,60.0
Ellsworth,Andrieux,Male,49,1971-04-26,Senior Cost Accountant,Financial Services,Affluent Customer,False,Yes,10,08912 Carberry Place,4036,QLD,Australia,7,248,1.08,51,50.0
Federico,Leuty,Male,59,1978-12-11,Product Engineer,Property,High Net Worth,False,Yes,11,720 Menomonie Crossing,2380,NSW,Australia,4,249,1.08,44,40.0
Ferdy,Hornung,Male,57,1974-05-14,Analog Circuit Design manager,Entertainment,High Net Worth,False,No,18,0686 Hallows Trail,4506,QLD,Australia,3,250,1.07,48,50.0
Sunny,Christescu,Female,90,1975-03-12,Cost Accountant,Financial Services,Mass Customer,False,No,11,6668 Blue Bill Park Plaza,2209,NSW,Australia,10,250,1.07,47,50.0
Shadow,Yakutin,Male,85,1967-02-03,Software Test Engineer IV,Health,Affluent Customer,False,Yes,6,06 Dwight Park,4119,QLD,Australia,2,252,1.07,56,60.0
Sharai,Priddie,Female,13,1961-01-16,Sales Representative,Retail,Mass Customer,False,No,9,5202 Crowley Place,2145,NSW,Australia,9,252,1.07,62,60.0
Celeste,Fretson,Female,91,1980-09-16,Product Engineer,IT,Mass Customer,False,No,9,14709 Portage Avenue,2166,NSW,Australia,9,252,1.07,42,40.0
Lea,Ilyinski,Female,75,1997-09-25,Structural Analysis Engineer,Financial Services,High Net Worth,False,No,12,895 Glendale Park,2026,NSW,Australia,12,252,1.07,25,20.0
Dyann,Olechnowicz,Female,17,1939-07-17,Nuclear Power Engineer,Manufacturing,Mass Customer,False,No,16,0474 Bowman Hill,3031,VIC,Australia,10,252,1.07,83,80.0
Delly,Sunman,Female,49,1959-04-11,Account Coordinator,Retail,Mass Customer,False,No,15,652 Fuller Terrace,3206,VIC,Australia,12,252,1.07,63,60.0
Malvin,Ryhorovich,Male,37,1962-03-03,Quality Control Specialist,Financial Services,Mass Customer,False,No,5,5356 Sugar Plaza,4818,QLD,Australia,3,252,1.07,61,60.0
Tanya,Hamberston,Female,45,2000-09-25,Product Engineer,Financial Services,Mass Customer,False,Yes,9,7 Schiller Point,4113,QLD,Australia,6,259,1.06,22,20.0
Kaela,Romaines,Female,41,1971-11-27,Geological Engineer,Manufacturing,High Net Worth,False,No,19,9193 Prairieview Drive,2155,NSW,Australia,10,259,1.06,51,50.0
Evonne,Bembridge,Female,9,1969-07-06,Recruiting Manager,Retail,Mass Customer,False,Yes,14,13272 Basil Avenue,3103,VIC,Australia,9,259,1.06,53,50.0
Shannen,Lewin,Female,21,1991-06-07,Analog Circuit Design manager,Argiculture,High Net Worth,False,No,6,29 Aberg Crossing,4210,QLD,Australia,6,259,1.06,31,30.0
Bogey,Attew,Male,88,1992-11-18,Software Engineer II,IT,Mass Customer,False,Yes,10,4 Monterey Road,4165,QLD,Australia,9,259,1.06,30,30.0
Zondra,Ringham,Female,36,1948-01-13,Cost Accountant,Financial Services,Mass Customer,False,Yes,7,416 Lighthouse Bay Lane,4510,QLD,Australia,5,259,1.06,75,80.0
Barnebas,Apfel,Male,57,1996-02-19,Account Executive,Manufacturing,Affluent Customer,False,Yes,2,05475 Elgar Place,4000,QLD,Australia,6,259,1.06,27,30.0
Alleen,Eaken,Female,56,1938-08-31,Associate Professor,Financial Services,Mass Customer,False,No,10,343 Lakewood Center,2089,NSW,Australia,12,259,1.06,84,80.0
Gerri,Schimann,Female,81,1969-11-17,Desktop Support Technician,Property,Mass Customer,False,Yes,18,47 Kim Terrace,2566,NSW,Australia,8,259,1.06,53,50.0
Antonietta,Egle,Female,82,1973-09-25,Actuary,Financial Services,Mass Customer,False,No,7,590 Hagan Parkway,3805,VIC,Australia,7,259,1.06,49,50.0
Raff,Waycott,Male,70,1951-12-16,Engineer IV,Manufacturing,Affluent Customer,False,Yes,14,94694 Eagle Crest Terrace,3977,VIC,Australia,7,259,1.06,71,70.0
Lark,Gonet,Female,89,1972-01-17,Database Administrator II,Health,High Net Worth,False,No,8,261 Orin Center,2763,NSW,Australia,8,259,1.06,51,50.0
Cletis,Longley,Male,84,1996-07-01,Chemical Engineer,Manufacturing,High Net Worth,False,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,271,1.06,26,30.0
Bartram,Di Lucia,Male,70,1961-01-03,Associate Professor,Argiculture,Mass Customer,False,Yes,5,83509 Delaware Street,2480,NSW,Australia,3,271,1.06,62,60.0
Theresa,Cowper,Female,99,1976-08-24,Accountant III,Manufacturing,Mass Customer,False,No,3,88 Mifflin Pass,2529,NSW,Australia,10,271,1.06,46,50.0
Philbert,Raraty,Male,48,1956-06-28,Executive Secretary,Manufacturing,Mass Customer,False,No,6,10 Dexter Park,2177,NSW,Australia,9,274,1.05,66,70.0
Egon,Ortells,Male,35,1976-06-11,Structural Engineer,Manufacturing,Affluent Customer,False,No,13,3 Sundown Hill,2168,NSW,Australia,9,274,1.05,46,50.0
Dahlia,Shovlar,Female,90,1966-03-07,Environmental Specialist,Financial Services,Affluent Customer,False,Yes,7,655 Glendale Trail,3976,VIC,Australia,3,274,1.05,57,60.0
Timi,Duny,Female,70,1953-03-12,Office Assistant II,Telecommunications,High Net Worth,False,No,6,39192 Glendale Alley,2092,NSW,Australia,12,274,1.05,70,70.0
Dominick,Asher,Male,50,1962-10-06,Research Associate,Health,Affluent Customer,False,Yes,5,7307 Lake View Crossing,3804,VIC,Australia,9,278,1.05,60,60.0
Raye,Roo,Female,64,1976-03-07,Database Administrator I,Financial Services,Mass Customer,False,Yes,16,1199 Express Plaza,3046,VIC,Australia,9,278,1.05,47,50.0
Becka,Hacon,Female,81,1965-07-03,General Manager,Financial Services,Affluent Customer,False,No,17,1 Namekagon Point,3791,VIC,Australia,9,278,1.05,57,60.0
Cirillo,Frossell,Male,7,1968-10-14,Graphic Designer,Financial Services,Mass Customer,False,No,6,602 Meadow Vale Lane,2111,NSW,Australia,12,278,1.05,54,50.0
Verla,Dumingos,Female,26,1971-09-18,Design Engineer,Telecommunications,Mass Customer,False,Yes,10,6784 Spohn Alley,3021,VIC,Australia,8,282,1.05,51,50.0
Sherrie,Godleman,Female,37,1978-04-02,Associate Professor,Manufacturing,Mass Customer,False,No,19,67 Shelley Crossing,3350,VIC,Australia,2,282,1.05,44,40.0
Dexter,Shutle,Male,81,1959-01-05,Quality Control Specialist,Financial Services,Mass Customer,False,No,17,07 Dayton Court,4005,QLD,Australia,7,284,1.05,64,60.0
Konstanze,Hovie,Female,88,1967-01-09,Pharmacist,Health,Mass Customer,False,No,11,351 Sunfield Lane,4370,QLD,Australia,7,285,1.04,56,60.0
Bink,Bentje,Male,3,1957-03-23,Payment Adjustment Coordinator,Financial Services,High Net Worth,False,Yes,19,8427 Moulton Place,2680,NSW,Australia,3,285,1.04,65,60.0
Taber,Szymon,Male,70,1947-04-22,Senior Sales Associate,Argiculture,Affluent Customer,False,No,13,984 Del Sol Junction,4659,QLD,Australia,8,287,1.04,75,80.0
Debbi,Dannatt,Female,2,1958-12-28,Technical Writer,Financial Services,Affluent Customer,False,No,6,3 Pepper Wood Hill,4218,QLD,Australia,10,287,1.04,64,60.0
Giana,Staresmeare,Female,96,1976-04-20,Account Representative IV,Retail,Affluent Customer,False,Yes,9,8737 Scoville Center,2770,NSW,Australia,7,289,1.04,46,50.0
Morton,Petkens,Male,50,1990-11-13,Account Coordinator,Manufacturing,High Net Worth,False,Yes,10,385 Montana Place,3012,VIC,Australia,1,289,1.04,32,30.0
Vittoria,Whitney,Female,95,1981-06-03,Research Assistant I,Financial Services,High Net Worth,False,No,12,3 Surrey Court,2019,NSW,Australia,11,291,1.04,41,40.0
Paquito,Atwood,Male,15,1972-07-30,Nuclear Power Engineer,Manufacturing,Affluent Customer,False,No,9,2 Magdeline Street,3199,VIC,Australia,8,291,1.04,50,50.0
Dimitri,Tribbeck,Male,89,1958-12-07,Chief Design Engineer,Financial Services,Affluent Customer,False,No,20,93235 Hoard Trail,3165,VIC,Australia,6,291,1.04,64,60.0
Shelli,Bartholomaus,Female,88,1963-05-11,Associate Professor,Health,Mass Customer,False,Yes,6,356 Carberry Avenue,3082,VIC,Australia,7,291,1.04,59,60.0
Kermit,Lebond,Male,36,1980-02-01,Financial Advisor,Financial Services,Mass Customer,False,No,4,71 Ludington Center,4208,QLD,Australia,8,295,1.03,43,40.0
Biddie,Gorce,Female,68,1988-01-30,Senior Financial Analyst,Financial Services,Mass Customer,False,Yes,5,2116 Continental Terrace,2795,NSW,Australia,7,295,1.03,35,40.0
Rupert,Marrow,Male,73,1970-08-08,Associate Professor,Property,High Net Worth,False,No,19,2 7th Way,2760,NSW,Australia,8,297,1.03,52,50.0
Geoff,Sitford,Male,97,1965-02-27,Account Executive,Financial Services,Mass Customer,False,Yes,4,7 Elgar Road,2148,NSW,Australia,8,297,1.03,58,60.0
Ange,Chitham,Female,91,1991-02-14,Associate Professor,Argiculture,Mass Customer,False,No,10,00003 Hoffman Pass,2560,NSW,Australia,8,297,1.03,32,30.0
Tiphanie,Blackader,Female,59,1947-10-08,Physical Therapy Assistant,Retail,Mass Customer,False,No,17,71 Stone Corner Avenue,2007,NSW,Australia,11,297,1.03,75,80.0
Zollie,Crinidge,Male,39,1988-01-10,Systems Administrator I,Retail,Mass Customer,False,Yes,10,0 Esker Avenue,4019,QLD,Australia,5,297,1.03,35,40.0
Daisy,Pollen,Female,97,1993-08-09,Cost Accountant,Financial Services,Mass Customer,False,No,7,61825 Debs Terrace,3167,VIC,Australia,9,302,1.03,29,30.0
Emelen,Bidnall,Male,79,1981-08-05,Systems Administrator IV,Health,Affluent Customer,False,Yes,11,11 Oak Terrace,2026,NSW,Australia,12,302,1.03,41,40.0
Linette,Boman,Female,56,1949-05-20,Account Executive,Financial Services,Affluent Customer,False,No,11,7 Michigan Hill,2076,NSW,Australia,11,304,1.02,73,70.0
Manya,Abramovici,Female,42,1955-07-17,Quality Engineer,Financial Services,High Net Worth,False,Yes,13,8 Randy Park,4214,QLD,Australia,8,304,1.02,67,70.0
Brynna,Tivers,Female,81,1974-08-09,Recruiting Manager,Financial Services,Mass Customer,False,No,6,0 Mayfield Parkway,4272,QLD,Australia,7,304,1.02,48,50.0
Art,Carolan,Male,1,1954-11-09,Marketing Manager,Financial Services,Affluent Customer,False,Yes,11,57903 Hanson Parkway,2570,NSW,Australia,9,304,1.02,68,70.0
Alfi,Sabbins,Female,63,1959-06-12,Associate Professor,Financial Services,High Net Worth,False,Yes,18,763 Ridgeway Place,2344,NSW,Australia,3,304,1.02,63,60.0
Loleta,Aberdalgy,Female,45,1981-02-15,Occupational Therapist,Health,Mass Customer,False,No,11,99 Westend Court,2287,NSW,Australia,6,304,1.02,42,40.0
Aldric,Birney,Male,21,1971-08-19,Associate Professor,Manufacturing,Mass Customer,False,Yes,14,5 Caliangt Center,2546,NSW,Australia,6,310,1.02,51,50.0
Natividad,Balducci,Female,39,1991-02-07,Associate Professor,Property,High Net Worth,False,Yes,10,4472 Washington Junction,3206,VIC,Australia,11,310,1.02,32,30.0
Claudine,Dymick,Female,28,1965-12-13,Design Engineer,Health,Mass Customer,False,No,5,31675 Corry Way,3977,VIC,Australia,5,312,1.02,57,60.0
Seamus,Cains,Male,61,1989-12-15,Teacher,Manufacturing,High Net Worth,False,No,7,4882 Dakota Center,2305,NSW,Australia,8,312,1.02,33,30.0
Guss,Karim,Male,95,1968-11-24,Senior Sales Associate,Manufacturing,Mass Customer,False,No,7,4 Warner Circle,2227,NSW,Australia,11,312,1.02,54,50.0
Julietta,Setchfield,Female,73,1992-01-31,Operator,Financial Services,High Net Worth,False,Yes,3,4 Manufacturers Crossing,4170,QLD,Australia,8,312,1.02,31,30.0
Roch,Symson,Female,96,1978-05-13,Office Assistant I,Manufacturing,High Net Worth,False,No,18,016 Westport Park,3073,VIC,Australia,9,312,1.02,44,40.0
Audry,Fann,Female,3,1957-10-17,Pharmacist,Health,Mass Customer,False,Yes,15,19 Debs Parkway,3029,VIC,Australia,6,312,1.02,65,60.0
Cecelia,Cisar,Female,20,1985-03-26,Associate Professor,Property,Mass Customer,False,Yes,15,665 Sachs Way,4212,QLD,Australia,7,312,1.02,37,40.0
Clari,Voas,Female,74,1955-07-28,Human Resources Assistant II,Health,Affluent Customer,False,Yes,14,4110 Mifflin Center,2127,NSW,Australia,8,312,1.02,67,70.0
Zach,Hedman,Male,87,1981-09-11,Analyst Programmer,Financial Services,Affluent Customer,False,Yes,4,62 Spaight Center,2566,NSW,Australia,9,320,1.02,41,40.0
Paxon,Roomes,Male,78,1976-11-06,Information Systems Manager,Financial Services,High Net Worth,False,Yes,7,3 Express Lane,3021,VIC,Australia,7,320,1.02,46,50.0
Parnell,Lamprey,Male,23,1977-04-08,Engineer III,Financial Services,High Net Worth,False,No,12,7353 Mallard Junction,2165,NSW,Australia,6,322,1.01,45,40.0
Honey,Gosdin,Female,0,1981-11-29,Software Engineer I,Property,Mass Customer,False,No,17,066 Warner Trail,2582,NSW,Australia,9,322,1.01,41,40.0
Sonny,McCart,Male,35,1992-08-27,Account Representative I,Manufacturing,High Net Worth,False,No,9,52752 Barby Hill,3020,VIC,Australia,9,324,1.01,30,30.0
Rozamond,Turtle,Unidentified,69,1941-07-21,Legal Assistant,IT,Mass Customer,False,Yes,3,57025 New Castle Street,3850,VIC,Australia,3,324,1.01,81,80.0
